date,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130102,282.0,1184.0,616.0,1.0,271.0,8999.0,19859.0,10860.0,57.0,
20130104,1325.0,0.0,305.0,0.0,1325.0,0.0,25200.0,0.0,0.0,
20130108,4.0,3801.0,418.0,3.0,1428.0,13349.0,22084.0,8735.0,75.0,
20130109,1415.0,0.0,405.0,0.0,1415.0,0.0,25800.0,0.0,0.0,
20130112,70.0,728.0,464.0,0.0,59.0,18122.0,23822.0,5700.0,92.0,
20130113,1412.0,2620.0,187.0,1.0,1407.0,5040.0,10626.0,5586.0,34.0,
20130118,91.0,602.0,422.0,1.0,87.0,13357.0,19585.0,6228.0,72.0,
20130119,181.0,1010.0,500.0,0.0,165.0,12480.0,19154.0,6674.0,69.0,
20130120,48.0,1676.0,337.0,1.0,37.0,8929.0,16433.0,7504.0,59.0,
20130121,125.0,902.0,451.0,0.0,121.0,13560.0,19467.0,5907.0,73.0,
20130122,1439.0,2493.0,358.0,2.0,1433.0,14872.0,20452.0,5580.0,80.0,
20130123,51.0,257.0,457.0,0.0,47.0,15600.0,24403.0,8803.0,89.0,
20130124,73.0,690.0,447.0,0.0,62.0,16222.0,22522.0,6300.0,87.0,
20130125,1419.0,1091.0,448.0,0.0,1408.0,18014.0,28214.0,10200.0,100.0,
20130126,116.0,705.0,582.0,1.0,112.0,18480.0,27511.0,9031.0,97.0,
20130127,139.0,1718.0,488.0,1.0,123.0,11073.0,20193.0,9120.0,68.0,
20130128,448.0,3585.0,1087.0,2.0,442.0,3300.0,35880.0,3780.0,20.0,
20130129,50.0,0.0,485.0,0.0,50.0,0.0,26100.0,0.0,0.0,
20130130,60.0,0.0,455.0,0.0,60.0,0.0,23700.0,0.0,0.0,
20130131,72.0,1704.0,435.0,1.0,55.0,11715.0,21678.0,9963.0,73.0,
20130201,46.0,2818.0,445.0,2.0,20.0,18561.0,22970.0,4409.0,89.0,
20130202,262.0,416.0,651.0,0.0,256.0,16380.0,23374.0,6994.0,80.0,
20130203,162.0,3831.0,541.0,1.0,111.0,13860.0,22246.0,8386.0,76.0,
20130204,102.0,2991.0,388.0,0.0,53.0,10852.0,17452.0,6600.0,63.0,
20130205,97.0,1225.0,451.0,1.0,86.0,15060.0,20909.0,5849.0,79.0,
20130206,108.0,2121.0,227.0,1.0,97.0,1980.0,6277.0,4297.0,18.0,
20130207,36.0,699.0,430.0,0.0,25.0,13174.0,23674.0,10500.0,82.0,
20130208,43.0,681.0,447.0,0.0,32.0,15803.0,24383.0,8580.0,88.0,
20130209,118.0,429.0,627.0,0.0,112.0,19080.0,30671.0,11591.0,100.0,
20130210,99.0,853.0,628.0,0.0,88.0,14640.0,31740.0,17100.0,97.0,
20130211,82.0,1028.0,386.0,0.0,66.0,7140.0,18470.0,11330.0,57.0,
20130212,16.0,257.0,477.0,0.0,12.0,15300.0,27660.0,12360.0,95.0,
20130213,69.0,282.0,390.0,0.0,65.0,8139.0,19449.0,11310.0,62.0,
20130214,70.0,2231.0,384.0,1.0,54.0,11038.0,18298.0,7260.0,67.0,
20130215,87.0,964.0,451.0,0.0,76.0,14587.0,21896.0,7309.0,80.0,
20130216,33.0,1227.0,579.0,1.0,29.0,20359.0,32359.0,12000.0,100.0,
20130217,254.0,759.0,533.0,0.0,243.0,10862.0,16862.0,6000.0,56.0,
20130218,133.0,1209.0,541.0,0.0,116.0,16981.0,24540.0,7559.0,89.0,
20130219,123.0,1983.0,486.0,2.0,111.0,13208.0,20540.0,7332.0,76.0,
20130220,78.0,1439.0,457.0,0.0,67.0,12780.0,22647.0,9867.0,78.0,
20130221,77.0,1728.0,461.0,1.0,66.0,16274.0,22735.0,6461.0,84.0,
20130222,89.0,1263.0,433.0,1.0,73.0,11654.0,20414.0,8760.0,69.0,
20130223,114.0,1613.0,137.0,0.0,92.0,480.0,1440.0,960.0,4.0,
20130224,195.0,0.0,555.0,0.0,195.0,0.0,21634.0,0.0,0.0,
20130225,105.0,1287.0,474.0,1.0,89.0,14522.0,21925.0,7403.0,78.0,
20130226,102.0,1653.0,506.0,1.0,91.0,16380.0,23288.0,6908.0,86.0,
20130227,121.0,5208.0,459.0,2.0,44.0,12353.0,19911.0,7558.0,68.0,
20130228,93.0,1318.0,422.0,0.0,72.0,10631.0,19931.0,9300.0,66.0,
20130301,89.0,3821.0,388.0,1.0,53.0,9060.0,17280.0,8220.0,58.0,
20130302,45.0,0.0,525.0,0.0,45.0,0.0,28792.0,0.0,0.0,
20130303,93.0,1397.0,531.0,0.0,71.0,16680.0,26387.0,9707.0,93.0,
20130304,92.0,1530.0,451.0,0.0,81.0,14580.0,21780.0,7200.0,80.0,
20130305,68.0,776.0,431.0,0.0,56.0,13395.0,21864.0,8469.0,78.0,
20130307,60.0,1834.0,459.0,2.0,49.0,17053.0,22770.0,5717.0,87.0,
20130309,127.0,744.0,461.0,0.0,116.0,12660.0,20160.0,7500.0,70.0,
20130310,119.0,1044.0,628.0,1.0,108.0,15606.0,26723.0,11117.0,88.0,
20130312,109.0,5177.0,488.0,1.0,43.0,17160.0,21730.0,4570.0,83.0,
20130313,95.0,2488.0,459.0,0.0,64.0,15181.0,21960.0,6779.0,82.0,
20130314,142.0,2045.0,511.0,1.0,116.0,12151.0,21871.0,9720.0,72.0,
20130315,88.0,4543.0,446.0,2.0,31.0,13245.0,20565.0,7320.0,71.0,
20130316,59.0,0.0,479.0,0.0,59.0,0.0,25200.0,0.0,0.0,
20130317,98.0,757.0,491.0,0.0,86.0,14880.0,23739.0,8859.0,85.0,
20130318,68.0,1370.0,449.0,0.0,54.0,13320.0,22980.0,9660.0,80.0,
20130319,169.0,8178.0,393.0,1.0,58.0,7958.0,12690.0,4732.0,46.0,
20130320,81.0,1096.0,460.0,1.0,70.0,11281.0,22590.0,11309.0,75.0,
20130321,95.0,3588.0,423.0,1.0,43.0,11712.0,19512.0,7800.0,68.0,
20130322,35.0,3360.0,448.0,1.0,18.0,16847.0,22546.0,5699.0,86.0,
20130323,111.0,735.0,439.0,0.0,99.0,12836.0,19739.0,6903.0,71.0,
20130324,130.0,0.0,490.0,0.0,130.0,0.0,21600.0,0.0,0.0,
20130326,60.0,1875.0,449.0,3.0,44.0,11085.0,22507.0,11422.0,73.0,
20130327,61.0,1848.0,485.0,2.0,45.0,13921.0,24644.0,10723.0,83.0,
20130328,73.0,1003.0,447.0,1.0,62.0,16581.0,22281.0,5700.0,84.0,
20130329,165.0,1051.0,414.0,0.0,149.0,6481.0,14902.0,8421.0,48.0,
20130330,64.0,773.0,403.0,0.0,53.0,13680.0,20460.0,6780.0,77.0,
20130401,90.0,0.0,428.0,0.0,90.0,0.0,20280.0,0.0,0.0,
20130402,111.0,1144.0,388.0,0.0,93.0,8580.0,16750.0,8170.0,58.0,
20130403,1439.0,1215.0,459.0,1.0,1424.0,15180.0,27547.0,12367.0,96.0,
20130404,228.0,862.0,399.0,2.0,224.0,4504.0,9784.0,5280.0,28.0,
20130405,127.0,4505.0,403.0,0.0,53.0,9180.0,16505.0,7325.0,58.0,
20130406,46.0,3546.0,480.0,1.0,0.0,14188.0,25409.0,11221.0,86.0,
20130407,152.0,994.0,466.0,1.0,141.0,11750.0,18563.0,6813.0,65.0,
20130408,61.0,1131.0,467.0,1.0,57.0,7801.0,23933.0,16132.0,69.0,
