date,sleepIntervalIndex,sleepTimeStart,sleepTimeEnd,sleepDuration,sleepQuality,restingHR,interrupted
05/01/2013,1,"May 1, 2013 12:42 AM","May 1, 2013 7:38 AM",6h 56m,85,42,1
05/02/2013,1,"May 2, 2013 12:51 AM","May 2, 2013 7:05 AM",6h 14m,73,43,1
05/03/2013,1,"May 3, 2013 1:24 AM","May 3, 2013 7:05 AM",5h 41m,78,41,0
05/05/2013,1,"May 5, 2013 2:15 AM","May 5, 2013 7:57 AM",5h 42m,72,43,0
05/06/2013,1,"May 6, 2013 12:28 AM","May 6, 2013 7:34 AM",7h 6m,93,42,0
05/07/2013,1,"May 7, 2013 1:11 AM","May 7, 2013 6:22 AM",5h 11m,55,47,0
05/08/2013,1,"May 8, 2013 12:33 AM","May 8, 2013 7:42 AM",7h 9m,88,43,1
05/09/2013,1,"May 9, 2013 1:42 AM","May 9, 2013 5:48 AM",4h 6m,42,46,0
05/10/2013,1,"May 10, 2013 12:56 AM","May 10, 2013 7:36 AM",6h 40m,79,44,1
05/11/2013,1,"May 11, 2013 1:21 AM","May 11, 2013 6:59 AM",5h 38m,61,44,1
05/12/2013,1,"May 12, 2013 1:58 AM","May 12, 2013 8:23 AM",6h 25m,78,46,0
05/12/2013,2,"May 12, 2013 1:56 PM","May 12, 2013 2:25 PM",29m,78,52,1
05/12/2013,3,"May 12, 2013 2:42 PM","May 12, 2013 3:13 PM",31m,78,57,1
05/13/2013,1,"May 13, 2013 12:00 AM","May 13, 2013 6:34 AM",6h 34m,86,45,1
05/14/2013,1,"May 14, 2013 1:14 AM","May 14, 2013 7:01 AM",5h 47m,60,51,1
05/15/2013,1,"May 15, 2013 12:33 AM","May 15, 2013 7:28 AM",6h 55m,89,48,0
05/16/2013,1,"May 16, 2013 1:15 AM","May 16, 2013 6:55 AM",5h 40m,64,47,0
05/17/2013,1,"May 17, 2013 1:02 AM","May 17, 2013 7:20 AM",6h 18m,76,46,0
05/18/2013,1,"May 18, 2013 12:00 AM","May 18, 2013 12:29 AM",29m,90,51,1
05/18/2013,2,"May 18, 2013 1:33 AM","May 18, 2013 8:35 AM",7h 2m,90,48,1
05/19/2013,1,"May 19, 2013 1:21 AM","May 19, 2013 7:32 AM",6h 11m,90,44,1
05/19/2013,2,"May 19, 2013 9:08 AM","May 19, 2013 11:24 AM",2h 16m,90,50,1
05/20/2013,1,"May 19, 2013 11:05 PM","May 20, 2013 1:05 AM",2h,90,42,1
05/20/2013,2,"May 20, 2013 1:19 AM","May 20, 2013 7:36 AM",6h 17m,90,48,1
05/21/2013,1,"May 21, 2013 12:50 AM","May 21, 2013 7:11 AM",6h 21m,77,48,0
05/22/2013,1,"May 22, 2013 1:12 AM","May 22, 2013 7:36 AM",6h 24m,78,47,0
